"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 05 13:40:08 CET 2024","Tue Mar 05 13:40:18 CET 2024","10592","","tests.OnasTest","","tests.OnasTest","_test_Page_Source_Not_Corrupted","_test_Page_Source_Not_Corrupted()",""
"passed","Tue Mar 05 13:32:56 CET 2024","Tue Mar 05 13:33:57 CET 2024","61103","","tests.GlownaTest","","tests.GlownaTest","test_JulekPeszko_Page_Opens_Upon_Clicking_On_Logo","test_JulekPeszko_Page_Opens_Upon_Clicking_On_Logo()",""
"passed","Sat Mar 02 15:06:34 CET 2024","Sat Mar 02 15:06:40 CET 2024","6573","","tests.footerTest","","tests.footerTest","test_If_Policy_Page_Opens","test_If_Policy_Page_Opens()",""
"passed","Sat Mar 02 15:40:00 CET 2024","Sat Mar 02 15:40:04 CET 2024","4382","","tests.footerTest","","tests.footerTest","test_If_strona_Glowna_Redirect_To_Repsective_Page","test_If_strona_Glowna_Redirect_To_Repsective_Page()",""
"passed","Tue Mar 05 13:29:01 CET 2024","Tue Mar 05 13:29:12 CET 2024","11301","","tests.FooterTest","","tests.FooterTest","yeti","yeti()",""
"passed","Tue Mar 05 13:31:53 CET 2024","Tue Mar 05 13:32:13 CET 2024","20160","","tests.GaleriaTest","","tests.GaleriaTest","test_Galeria_Fileter","test_Galeria_Fileter()",""
"passed","Tue Mar 05 13:06:03 CET 2024","Tue Mar 05 13:06:36 CET 2024","33656","","tests.OnasTest","","tests.OnasTest","accurate_Title_In_HTML_Addres","accurate_Title_In_HTML_Addres()",""
"passed","Tue Mar 05 13:37:02 CET 2024","Tue Mar 05 13:37:31 CET 2024","28771","","tests.HeaderTest","","tests.HeaderTest","test_If_strona_Glowna_Redirect_To_Repsective_Page","test_If_strona_Glowna_Redirect_To_Repsective_Page()",""
"passed","Tue Mar 05 13:06:48 CET 2024","Tue Mar 05 13:07:13 CET 2024","25428","","tests.OnasTest","","tests.OnasTest","page_Source_Not_Corrupted","page_Source_Not_Corrupted()",""
"passed","Sat Mar 02 15:42:25 CET 2024","Sat Mar 02 15:42:30 CET 2024","4964","","tests.footerTest","","tests.footerTest","test_If_galeria_Redirect_To_Repsective_Page","test_If_galeria_Redirect_To_Repsective_Page()",""
"passed","Tue Mar 05 13:29:19 CET 2024","Tue Mar 05 13:29:55 CET 2024","35835","","tests.FooterTest","","tests.FooterTest","test_If_logowanie_Redirect_To_Repsective_Page","test_If_logowanie_Redirect_To_Repsective_Page()",""
"passed","Tue Mar 05 13:35:29 CET 2024","Tue Mar 05 13:36:13 CET 2024","44517","","tests.GlownaTest","","tests.GlownaTest","test_GoSnow_Page_Opens_Upon_Clicking_On_Logo","test_GoSnow_Page_Opens_Upon_Clicking_On_Logo()",""
"passed","Sat Mar 02 15:38:33 CET 2024","Sat Mar 02 15:38:39 CET 2024","5500","","tests.footerTest","","tests.footerTest","test_If_Polityka_Prywatnosci_Redirect_To_Repsective_Page","test_If_Polityka_Prywatnosci_Redirect_To_Repsective_Page()",""
"passed","Tue Mar 05 13:27:24 CET 2024","Tue Mar 05 13:27:30 CET 2024","6075","","tests.FooterTest","","tests.FooterTest","test_If_oNas_Redirect_To_Repsective_Page","test_If_oNas_Redirect_To_Repsective_Page()",""
"passed","Sat Mar 02 15:40:22 CET 2024","Sat Mar 02 15:40:43 CET 2024","21634","","tests.footerTest","","tests.footerTest","isLogoPresent","isLogoPresent()",""
"passed","Tue Mar 05 13:37:50 CET 2024","Tue Mar 05 13:38:39 CET 2024","49310","","tests.HeaderTest","","tests.HeaderTest","test_If_logowanie_Redirect_To_Repsective_Page","test_If_logowanie_Redirect_To_Repsective_Page()",""
"passed","Tue Mar 05 13:29:12 CET 2024","Tue Mar 05 13:29:19 CET 2024","7303","","tests.FooterTest","","tests.FooterTest","test_If_galeria_Redirect_To_Repsective_Page","test_If_galeria_Redirect_To_Repsective_Page()",""
"passed","Sat Mar 02 15:38:39 CET 2024","Sat Mar 02 15:38:46 CET 2024","7311","","tests.footerTest","","tests.footerTest","test_If_wyjazdy_Redirect_To_Repsective_Page","test_If_wyjazdy_Redirect_To_Repsective_Page()",""
"passed","Sat Mar 02 15:38:54 CET 2024","Sat Mar 02 15:39:00 CET 2024","6800","","tests.footerTest","","tests.footerTest","test_If_Ig_Redirect_To_Repsective_Page","test_If_Ig_Redirect_To_Repsective_Page()",""
"passed","Tue Mar 05 13:32:13 CET 2024","Tue Mar 05 13:32:56 CET 2024","42696","","tests.GlownaTest","","tests.GlownaTest","test_Rontil_Page_Opens_Upon_Clicking_On_Logo","test_Rontil_Page_Opens_Upon_Clicking_On_Logo()",""
"passed","Tue Mar 05 12:46:01 CET 2024","Tue Mar 05 12:46:24 CET 2024","22169","","tests.LogowanieTesty","","tests.LogowanieTesty","test_Password_Reset_With_Invalid_Email","test_Password_Reset_With_Invalid_Email()",""
"passed","Sun Mar 03 13:19:53 CET 2024","Sun Mar 03 13:19:58 CET 2024","4426","","tests.LogowanieTesty","","tests.LogowanieTesty","test_If_Possible_To_Login","test_If_Possible_To_Login()",""
"passed","Tue Mar 05 12:55:19 CET 2024","Tue Mar 05 12:55:33 CET 2024","14017","","tests.LogowanieTesty","","tests.LogowanieTesty","test_Register_New_User_With_Valid_Data","test_Register_New_User_With_Valid_Data()",""
"passed","Sat Mar 02 15:39:56 CET 2024","Sat Mar 02 15:40:00 CET 2024","4035","","tests.footerTest","","tests.footerTest","test_If_Yt_Redirect_To_Repsective_Page","test_If_Yt_Redirect_To_Repsective_Page()",""
"passed","Tue Mar 05 12:59:51 CET 2024","Tue Mar 05 13:00:20 CET 2024","29336","","tests.LogowanieTesty","","tests.LogowanieTesty","test_LogIn_With_Valid_Data","test_LogIn_With_Valid_Data()",""
"passed","Tue Mar 05 13:39:04 CET 2024","Tue Mar 05 13:39:13 CET 2024","9232","","tests.OnasTest","","tests.OnasTest","test_Photo_Yeti_Is_Displayed","test_Photo_Yeti_Is_Displayed()",""
"passed","Tue Mar 05 13:33:57 CET 2024","Tue Mar 05 13:34:26 CET 2024","29144","","tests.GlownaTest","","tests.GlownaTest","test_KrzysiekPomaga_Page_Opens_Upon_Clicking_On_Logo","test_KrzysiekPomaga_Page_Opens_Upon_Clicking_On_Logo()",""
"passed","Tue Mar 05 13:42:04 CET 2024","Tue Mar 05 13:42:14 CET 2024","10176","","tests.WyjazdyTest","","tests.WyjazdyTest","test_clear_Button","test_clear_Button()",""
"passed","Tue Mar 05 13:27:17 CET 2024","Tue Mar 05 13:27:24 CET 2024","6637","","tests.FooterTest","","tests.FooterTest","test_If_Zofia_Redirect_To_Repsective_Page","test_If_Zofia_Redirect_To_Repsective_Page()",""
"passed","Tue Mar 05 13:27:30 CET 2024","Tue Mar 05 13:27:36 CET 2024","6404","","tests.FooterTest","","tests.FooterTest","test_If_WebCrafter_Redirect_To_Repsective_Page","test_If_WebCrafter_Redirect_To_Repsective_Page()",""
"failed","Tue Mar 05 13:36:13 CET 2024","Tue Mar 05 13:36:20 CET 2024","6881","","tests.GlownaTest","","tests.GlownaTest","test_TrainToWin_Page_Opens_Upon_Clicking_On_Logo","test_TrainToWin_Page_Opens_Upon_Clicking_On_Logo()",""
"passed","Tue Mar 05 12:46:24 CET 2024","Tue Mar 05 12:46:32 CET 2024","8641","","tests.LogowanieTesty","","tests.LogowanieTesty","test_Register_New_User_With_Incomplete_Email","test_Register_New_User_With_Incomplete_Email()",""
"passed","Tue Mar 05 13:27:37 CET 2024","Tue Mar 05 13:27:43 CET 2024","6083","","tests.FooterTest","","tests.FooterTest","test_If_Yt_Redirect_To_Repsective_Page","test_If_Yt_Redirect_To_Repsective_Page()",""
"passed","Tue Mar 05 13:37:31 CET 2024","Tue Mar 05 13:37:38 CET 2024","7228","","tests.HeaderTest","","tests.HeaderTest","test_If_treningi_Redirect_To_Repsective_Page","test_If_treningi_Redirect_To_Repsective_Page()",""
"passed","Tue Mar 05 13:30:07 CET 2024","Tue Mar 05 13:30:33 CET 2024","26257","","tests.GaleriaTest","","tests.GaleriaTest","test_If_Can_See_More_Photos","test_If_Can_See_More_Photos()",""
"passed","Tue Mar 05 13:28:30 CET 2024","Tue Mar 05 13:29:01 CET 2024","30452","","tests.FooterTest","","tests.FooterTest","test_If_Fb_Redirect_To_Repsective_Page","test_If_Fb_Redirect_To_Repsective_Page()",""
"passed","Tue Mar 05 13:38:54 CET 2024","Tue Mar 05 13:39:04 CET 2024","10030","","tests.NewsyTest","","tests.NewsyTest","test_Next_Page_Button_Takes_To_Another_Page","test_Next_Page_Button_Takes_To_Another_Page()",""
"passed","Tue Mar 05 12:45:25 CET 2024","Tue Mar 05 12:46:01 CET 2024","36666","","tests.LogowanieTesty","","tests.LogowanieTesty","test_LogIn_With_Invalid_Data","test_LogIn_With_Invalid_Data()",""
"passed","Sat Mar 02 15:39:11 CET 2024","Sat Mar 02 15:39:16 CET 2024","5545","","tests.footerTest","","tests.footerTest","test_If_oNas_Redirect_To_Repsective_Page","test_If_oNas_Redirect_To_Repsective_Page()",""
"passed","Sat Mar 02 15:40:10 CET 2024","Sat Mar 02 15:40:17 CET 2024","6997","","tests.footerTest","","tests.footerTest","test_If_Fb_Redirect_To_Repsective_Page","test_If_Fb_Redirect_To_Repsective_Page()",""
"passed","Tue Mar 05 13:41:55 CET 2024","Tue Mar 05 13:42:04 CET 2024","9258","","tests.WyjazdyTest","","tests.WyjazdyTest","test_Filter_Tour","test_Filter_Tour()",""
"passed","Sun Mar 03 11:37:12 CET 2024","Sun Mar 03 11:37:23 CET 2024","11161","","tests.GaleriaTest","","tests.GaleriaTest","test_clear_Galeria_Clears","test_clear_Galeria_Clears()",""
"broken","Sun Mar 03 15:34:48 CET 2024","Sun Mar 03 15:35:08 CET 2024","19843","","tests.FooterTest","","tests.FooterTest","test_If_Can_SignUp_For_Newsletter_With_Cl","test_If_Can_SignUp_For_Newsletter_With_Cl()",""
"passed","Tue Mar 05 13:36:45 CET 2024","Tue Mar 05 13:36:53 CET 2024","7799","","tests.HeaderTest","","tests.HeaderTest","test_If_newsy_Redirect_To_Repsective_Page","test_If_newsy_Redirect_To_Repsective_Page()",""
"passed","Tue Mar 05 13:41:43 CET 2024","Tue Mar 05 13:41:55 CET 2024","11903","","tests.WyjazdyTest","","tests.WyjazdyTest","test_Browse_Month","test_Browse_Month()",""
"passed","Sat Mar 02 15:38:46 CET 2024","Sat Mar 02 15:38:54 CET 2024","7671","","tests.footerTest","","tests.footerTest","test_If_newsy_Redirect_To_Repsective_Page","test_If_newsy_Redirect_To_Repsective_Page()",""
"passed","Sat Mar 02 15:43:07 CET 2024","Sat Mar 02 15:43:11 CET 2024","4219","","tests.footerTest","","tests.footerTest","test_If_WebCrafter_Redirect_To_Repsective_Page","test_If_WebCrafter_Redirect_To_Repsective_Page()",""
"passed","Tue Mar 05 13:27:08 CET 2024","Tue Mar 05 13:27:17 CET 2024","9158","","tests.FooterTest","","tests.FooterTest","test_If_Ig_Redirect_To_Repsective_Page","test_If_Ig_Redirect_To_Repsective_Page()",""
"passed","Tue Mar 05 10:09:06 CET 2024","Tue Mar 05 10:09:13 CET 2024","7354","","tests.FooterTest","","tests.FooterTest","isLogoPresent","isLogoPresent()",""
"passed","Tue Mar 05 13:26:54 CET 2024","Tue Mar 05 13:27:02 CET 2024","7585","","tests.FooterTest","","tests.FooterTest","test_If_wyjazdy_Redirect_To_Repsective_Page","test_If_wyjazdy_Redirect_To_Repsective_Page()",""
"passed","Tue Mar 05 13:27:02 CET 2024","Tue Mar 05 13:27:08 CET 2024","6255","","tests.FooterTest","","tests.FooterTest","test_If_newsy_Redirect_To_Repsective_Page","test_If_newsy_Redirect_To_Repsective_Page()",""
"passed","Tue Mar 05 13:40:28 CET 2024","Tue Mar 05 13:40:38 CET 2024","9430","","tests.TreningiTest","","tests.TreningiTest","test_Schedule_Displayed_On_Page","test_Schedule_Displayed_On_Page()",""
"passed","Tue Mar 05 13:36:53 CET 2024","Tue Mar 05 13:37:02 CET 2024","9074","","tests.HeaderTest","","tests.HeaderTest","test_If_oNas_Redirect_To_Repsective_Page","test_If_oNas_Redirect_To_Repsective_Page()",""
"passed","Sun Mar 03 09:10:18 CET 2024","Sun Mar 03 09:10:22 CET 2024","4771","","tests.TreningiTest","","tests.TreningiTest","test_Grafik_Displayed_On_Page","test_Grafik_Displayed_On_Page()",""
"passed","Tue Mar 05 13:34:26 CET 2024","Tue Mar 05 13:34:40 CET 2024","13516","","tests.GlownaTest","","tests.GlownaTest","test_LekarzSport_Page_Opens_Upon_Clicking_On_Logo","test_LekarzSport_Page_Opens_Upon_Clicking_On_Logo()",""
"passed","Tue Mar 05 13:30:33 CET 2024","Tue Mar 05 13:31:44 CET 2024","70831","","tests.GaleriaTest","","tests.GaleriaTest","test_Album_Is_Displayed","test_Album_Is_Displayed()",""
"passed","Tue Mar 05 12:46:32 CET 2024","Tue Mar 05 12:46:40 CET 2024","7944","","tests.LogowanieTesty","","tests.LogowanieTesty","test_Register_New_User_With_Invalid_Password","test_Register_New_User_With_Invalid_Password()",""
"failed","Tue Mar 05 13:26:49 CET 2024","Tue Mar 05 13:26:54 CET 2024","5221","","tests.FooterTest","","tests.FooterTest","test_If_Polityka_Prywatnosci_Redirect_To_Repsective_Page","test_If_Polityka_Prywatnosci_Redirect_To_Repsective_Page()",""
"passed","Tue Mar 05 13:37:38 CET 2024","Tue Mar 05 13:37:50 CET 2024","11551","","tests.HeaderTest","","tests.HeaderTest","test_If_galeria_Redirect_To_Repsective_Page","test_If_galeria_Redirect_To_Repsective_Page()",""
"passed","Tue Mar 05 13:39:13 CET 2024","Tue Mar 05 13:40:07 CET 2024","54650","","tests.OnasTest","","tests.OnasTest","test_Accurate_Title_In_HTML_Addres","test_Accurate_Title_In_HTML_Addres()",""
"passed","Tue Mar 05 13:40:18 CET 2024","Tue Mar 05 13:40:28 CET 2024","9990","","tests.TreningiTest","","tests.TreningiTest","test_Monday_Trainings_On_Page","test_Monday_Trainings_On_Page()",""
